StartIndex	EndIndex	GO:ID	Term	ConceptName	PreferredName	CUID
0	8	GO:0016020	membrane	membrane	Membrane	C0596901
25	37	GO:0005739	mitochondria	mitochondria	Mitochondria	C0026237
25	52	GO:0000001	mitochondrial abnormalities	mitochondrial inheritance	Mitochondrial Inheritance	C0887941
98	102	GO:0005623	cell	cell	Cells	C0007634
360	372	GO:0005739	mitochondria	mitochondria	Mitochondria	C0026237
360	410	GO:0000001	leads to deposition of mitochondrial atp synthase,	mitochondrial inheritance	Mitochondrial Inheritance	C0887941
667	671	GO:0005623	cell	cell	Cells	C0007634
816	820	GO:0005623	cell	cell	Cells	C0007634
841	866	GO:0030154	differentiated into map-2	cell differentiation	Cell Differentiation process	C0007589
898	902	GO:0005623	cell	cell	Cells	C0007634
943	947	GO:0005623	cell	cell	Cells	C0007634
1102	1108	GO:0040007	growth	growth	Growth	C0018270
1169	1184	GO:0003824	enzyme activity	enzyme activity		C0243102
1216	1230	GO:0005764	lysosomal size	lysosome	Lysosomes	C0024369
1265	1276	GO:0006897	endocytosis	endocytosis	Endocytosis	C0014139
1302	1314	GO:0005739	mitochondria	mitochondria	Mitochondria	C0026237
1341	1345	GO:0005623	cell	cell	Cells	C0007634
1494	1516	GO:0031090	intracellular membrane	intracellular membrane	Intracellular Membranes	C0021868
1533	1545	GO:0005739	mitochondria	mitochondria	Mitochondria	C0026237
1533	1556	GO:0000001	mitochondrial function.	mitochondrial inheritance	Mitochondrial Inheritance	C0887941
1652	1690	GO:0043524	particularly impact neuronal survival.	neuron survival		C1819944
1901	1919	GO:0050890	cognitive decline,	cognition	Cognition	C0009240
1941	1967	GO:0007567	the primary genetic defect	parturition	Birth	C0005615
1941	1967	GO:0000003	the primary genetic defect	reproduction	Reproduction	C0035150
1982	1992	GO:0005694	chromosome	chromosome	Chromosomes	C0008633
2014	2062	GO:0007567	a 1.02 kb genomic dna deletion in the cln3 gene,	parturition	Birth	C0005615
2014	2062	GO:0000003	a 1.02 kb genomic dna deletion in the cln3 gene,	reproduction	Reproduction	C0035150
2261	2273	GO:0044754	autolysosome	autolysosome	Autolysosome	C0230822
2313	2325	GO:0005739	mitochondria	mitochondria	Mitochondria	C0026237
2313	2376	GO:0000001	enriched in subunit c of the mitochondrial atp synthase complex	mitochondrial inheritance	Mitochondrial Inheritance	C0887941
2454	2458	GO:0005623	cell	cell	Cells	C0007634
2767	2794	GO:0034045	multi-pass membrane protein	pre-autophagosomal structure membrane		C2247584
2821	2829	GO:0005764	lysosome	lysosome	Lysosomes	C0024369
2834	2862	GO:0031982	other vesicular compartments	vesicle		C1622418
2970	3017	GO:0005764	implicated battenin in lysosomal ph homeostasis	lysosome	Lysosomes	C0024369
3022	3042	GO:0006865	amino acid transport	amino acid transport		C0596078
3069	3081	GO:0009405	pathogenesis	pathogenesis	Pathogenesis	C0699748
3296	3322	GO:0042571	detectable with antibodies	immunoglobulin complex location, circulating	Immunoglobulin complex location, circulating	C3665580
3490	3494	GO:0005623	cell	cell	Cells	C0007634
3545	3553	GO:0007610	behavior	behavior	Behavior	C0004927
3651	3663	GO:0005739	mitochondria	mitochondria	Mitochondria	C0026237
3651	3705	GO:0000001	leads to abnormal turnover of mitochondrial subunit c,	mitochondrial inheritance	Mitochondrial Inheritance	C0887941
3772	3776	GO:0005623	cell	cell	Cells	C0007634
3841	3859	GO:0008150	biological process	biological process	Biological Processes	C3714634
3924	3928	GO:0005623	cell	cell	Cells	C0007634
