StartIndex	EndIndex	GO:ID	ConceptName	PreferredName	CUID
0	34	GO:0051179	establishment and maintenance of localization		C1744691
49	66	GO:0007420	brain development		C1160340
283	294	GO:0042592	homeostasis	Homeostasis	C0019868
328	372	GO:0000003	reproduction	Reproduction	C0035150
429	446	GO:0007420	brain development		C1160340
534	601	GO:0009790	embryo development	Embryonic Development	C0013936
669	673	GO:0005623	cell	Cells	C0007634
705	745	GO:0051179	establishment and maintenance of localization		C1744691
751	760	GO:0005737	cytoplasm	Cytoplasm	C0010834
862	866	GO:0005623	cell	Cells	C0007634
937	944	GO:0005829	cytosol	Cytoplasmic matrix	C1383501
971	995	GO:0009790	embryo development	Embryonic Development	C0013936
1043	1050	GO:0005829	cytosol	Cytoplasmic matrix	C1383501
1074	1117	GO:0009844	germination	Germination	C0242735
1163	1184	GO:0009790	embryo development	Embryonic Development	C0013936
1199	1203	GO:0005623	cell	Cells	C0007634
1261	1289	GO:0005634	cell nucleus	Cell Nucleus	C0007610
1299	1303	GO:0005623	cell	Cells	C0007634
1318	1371	GO:0005634	cell nucleus	Cell Nucleus	C0007610
1380	1438	GO:0097426	glial filament	Glial Fibrillary Acidic Protein	C0017626
1380	1438	GO:0045101	glial fibrillary acidic protein	glial fibrillary acidic protein location	C1325793
1455	1464	GO:0005737	cytoplasm	Cytoplasm	C0010834
1559	1570	GO:0005654	nucleoplasm	Nucleoplasm	C0682537
1571	1591	GO:0005634	cell nucleus	Cell Nucleus	C0007610
1630	1634	GO:0005623	cell	Cells	C0007634
1706	1724	GO:0005634	cell nucleus	Cell Nucleus	C0007610
1741	1758	GO:0007420	brain development		C1160340
1790	1817	GO:0005634	cell nucleus	Cell Nucleus	C0007610
1862	1890	GO:0005634	cell nucleus	Cell Nucleus	C0007610
1895	1916	GO:0032502	development	Biologic Development	C0678723
2010	2014	GO:0005488	binding	Binding 	C1167622
2131	2170	GO:0019013	nucleocapsid	viral nucleocapsid location	C1167518
2228	2251	GO:1902698	acidogenesis		C3823112
2305	2354	GO:1902698	acidogenesis		C3823112
2383	2390	GO:0005488	binding	Binding 	C1167622
2420	2440	GO:0005543	phospholipid binding	Phospholipid Binding	C1148642
2755	2773	GO:0042583	chromaffin granule	Chromaffin granule	C0008537
2779	2798	GO:0061025	membrane fusion	Membrane Fusion	C0025246
2947	2951	GO:0005623	cell	Cells	C0007634
2976	2983	GO:0005829	cytosol	Cytoplasmic matrix	C1383501
2984	3032	GO:0016020	membrane	Membrane	C0596901
3049	3101	GO:0005634	cell nucleus	Cell Nucleus	C0007610
3514	3518	GO:0005623	cell	Cells	C0007634
3581	3623	GO:0051179	establishment and maintenance of localization		C1744691
3639	3663	GO:0045445	myoblast differentiation		C1159966
3685	3689	GO:0005623	cell	Cells	C0007634
3734	3741	GO:0005829	cytosol	Cytoplasmic matrix	C1383501
3746	3754	GO:0016020	membrane	Membrane	C0596901
3765	3794	GO:0030154	cell differentiation	Cell Differentiation process	C0007589
3828	3836	GO:0016020	membrane	Membrane	C0596901
3982	3986	GO:0005623	cell	Cells	C0007634
3989	4009	GO:0070527	platelet aggregation	Platelet aggregation	C0032176
4169	4180	GO:0042592	homeostasis	Homeostasis	C0019868
