StartIndex	EndIndex	GO:ID	ConceptName	PreferredName	CUID
314	383	GO:0007567	parturition	Birth	C0005615
314	383	GO:0000003	reproduction	Reproduction	C0035150
486	505	GO:0007567	parturition	Birth	C0005615
486	505	GO:0000003	reproduction	Reproduction	C0035150
662	695	GO:0000003	reproduction	Reproduction	C0035150
1001	1011	GO:0005694	chromosome	Chromosomes	C0008633
1038	1093	GO:0007565	gestation	Pregnancy	C0032961
1236	1246	GO:0005694	chromosome	Chromosomes	C0008633
1311	1359	GO:0005585	collagen type II trimer	collagen type II location	C1167376
1378	1388	GO:0005694	chromosome	Chromosomes	C0008633
1414	1436	GO:0007567	parturition	Birth	C0005615
1414	1436	GO:0000003	reproduction	Reproduction	C0035150
1520	1553	GO:0007565	gestation	Pregnancy	C0032961
1784	1814	GO:0000003	reproduction	Reproduction	C0035150
1958	2007	GO:0007565	gestation	Pregnancy	C0032961
2120	2145	GO:0007565	gestation	Pregnancy	C0032961
2285	2307	GO:0007565	gestation	Pregnancy	C0032961
2402	2446	GO:0007567	parturition	Birth	C0005615
2402	2446	GO:0000003	reproduction	Reproduction	C0035150
2415	2446	GO:0007567	parturition	Birth	C0005615
2415	2446	GO:0000003	reproduction	Reproduction	C0035150
2982	2999	GO:0007567	parturition	Birth	C0005615
2982	2999	GO:0000003	reproduction	Reproduction	C0035150
3004	3012	GO:0007610	behavior	Behavior	C0004927
3133	3151	GO:0007565	gestation	Pregnancy	C0032961
3152	3176	GO:0007565	gestation	Pregnancy	C0032961
3278	3312	GO:0007565	gestation	Pregnancy	C0032961
3358	3377	GO:0060209	estrus	Estrus	C0014948
3450	3461	GO:0060209	estrus	Estrus	C0014948
3501	3510	GO:0005148	prolactin	prolactin binding	C1744644
3539	3560	GO:0007565	gestation	Pregnancy	C0032961
3916	3936	GO:0000003	reproduction	Reproduction	C0035150
4172	4198	GO:0010468	regulation of gene expression	Gene Expression Regulation	C0017263
5095	5111	GO:0009790	embryo development	Embryonic Development	C0013936
5126	5138	GO:0000003	reproduction	Reproduction	C0035150
5317	5343	GO:0000003	reproduction	Reproduction	C0035150
5360	5386	GO:0009291	unidirectional conjugation		C1160186
5360	5386	GO:0007618	mating		C1260875
5360	5386	GO:0000747	conjugation with cellular fusion		C1748461
5360	5386	GO:1990277	parasexual conjugation with cellular fusion		C3812685
5426	5430	GO:0007618	mating		C1260875
5457	5491	GO:0009291	unidirectional conjugation		C1160186
5457	5491	GO:0007618	mating		C1260875
5457	5491	GO:0000747	conjugation with cellular fusion		C1748461
5457	5491	GO:1990277	parasexual conjugation with cellular fusion		C3812685
5493	5525	GO:0046776	major histocompatibility complex	major histocompatibility complex location	C1753349
5542	5546	GO:0007618	mating		C1260875
5570	5603	GO:0009291	unidirectional conjugation		C1160186
5570	5603	GO:0007618	mating		C1260875
5570	5603	GO:0000747	conjugation with cellular fusion		C1748461
5570	5603	GO:1990277	parasexual conjugation with cellular fusion		C3812685
5606	5641	GO:0007565	gestation	Pregnancy	C0032961
5795	5798	GO:0043739	MUG	G/U mismatch-specific uracil-DNA glycosylase activity 	C2248641
5826	5857	GO:1902698	acidogenesis		C3823112
5991	5994	GO:0043739	MUG	G/U mismatch-specific uracil-DNA glycosylase activity 	C2248641
5999	6030	GO:1902698	acidogenesis		C3823112
6453	6480	GO:0070267	oncosis	Oncosis	C1709317
6485	6497	GO:0006954	Inflammation		C0021368
