StartIndex	EndIndex	GO:ID	Term	ConceptName	PreferredName	CUID
33	107	GO:0007608	impaired olfactory memory by spatially controlled switch of ampa receptors	smell perception	Smell Perception	C0037361
119	206	GO:0007567	genetic perturbations of alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionate receptors	parturition	Birth	C0005615
119	206	GO:0000003	genetic perturbations of alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionate receptors	reproduction	Reproduction	C0035150
243	282	GO:0007600	molecular mechanisms of sensory coding,	sensory perception	Esthesia	C0036658
283	291	GO:0007612	learning	learning	Learning	C0023185
297	303	GO:0007613	memory	memory	Memory	C0025260
373	391	GO:0042048	olfactory behavior	olfactory behavior		C1154328
626	659	GO:0007608	enhanced olfactory discrimination	smell perception	Smell Perception	C0037361
675	683	GO:0007612	learning	learning	Learning	C0023185
725	742	GO:0007608	olfactory memory,	smell perception	Smell Perception	C0037361
876	918	GO:0007608	correlated with decreased olfactory memory	smell perception	Smell Perception	C0037361
912	918	GO:0007613	memory	memory	Memory	C0025260
1201	1209	GO:0007610	behavior	behavior	Behavior	C0004927
1290	1308	GO:0008355	olfactory learning	olfactory learning	Olfactory Learning	C1154340
1330	1336	GO:0007613	memory	memory	Memory	C0025260
1366	1384	GO:0007608	the sense of smell	smell perception	Smell Perception	C0037361
1469	1498	GO:0007608	long-lasting olfactory memory	smell perception	Smell Perception	C0037361
1579	1587	GO:0007610	behavior	behavior	Behavior	C0004927
1689	1711	GO:0009058	while in the formation	anabolism	Anabolism	C0220781
1716	1723	GO:0051235	storage	storage	cellular entity storage	C1753314
1790	1804	GO:0007608	olfactory bulb	smell perception	Smell Perception	C0037361
1833	1876	GO:0042995	the cellular correlates for these processes	cellular process		C1325880
1833	1876	GO:0009987	the cellular correlates for these processes	cellular process		C1325880
1947	1966	GO:0007608	to olfactory memory	smell perception	Smell Perception	C0037361
2019	2069	GO:0007608	unlikely for simple olfactory discrimination tasks	smell perception	Smell Perception	C0037361
2120	2124	GO:0005623	cell	cell	Cells	C0007634
2129	2158	GO:0007608	correlate of olfactory memory	smell perception	Smell Perception	C0037361
2301	2305	GO:0005623	cell	cell	Cells	C0007634
2385	2421	GO:0042995	cellular mechanisms for this process	cellular process		C1325880
2385	2421	GO:0009987	cellular mechanisms for this process	cellular process		C1325880
2432	2492	GO:0007608	attributed to the inhibitory circuitry of the olfactory bulb	smell perception	Smell Perception	C0037361
2525	2552	GO:0046331	lateral inhibitory circuits	lateral inhibition		C1154415
2799	2817	GO:0043336	rest in large part	site-specific telomere resolvase activity		C1622890
2866	2873	GO:0045202	synapse	synapse	Synapses	C0039062
2920	2924	GO:0005623	cell	cell	Cells	C0007634
2965	2969	GO:0005623	cell	cell	Cells	C0007634
2972	2994	GO:0007608	of the olfactory bulb.	smell perception	Smell Perception	C0037361
3013	3020	GO:0045202	synapse	synapse	Synapses	C0039062
3056	3104	GO:1902698	mediated by the gamma-aminobutyric acid-a system	acidogenesis		C3823112
3056	3104	GO:1902705	mediated by the gamma-aminobutyric acid-a system	acidogenesis		C3823112
3056	3104	GO:1902706	mediated by the gamma-aminobutyric acid-a system	acidogenesis		C3823112
3056	3104	GO:1902699	mediated by the gamma-aminobutyric acid-a system	acidogenesis		C3823112
3206	3262	GO:1902698	increased gamma-aminobutyric acid release by ca2+ influx	acidogenesis		C3823112
3206	3262	GO:1902705	increased gamma-aminobutyric acid release by ca2+ influx	acidogenesis		C3823112
3206	3262	GO:1902706	increased gamma-aminobutyric acid release by ca2+ influx	acidogenesis		C3823112
3206	3262	GO:1902699	increased gamma-aminobutyric acid release by ca2+ influx	acidogenesis		C3823112
3312	3315	GO:0007601	see	vision	Vision	C0042789
3401	3418	GO:0007608	olfactory memory,	smell perception	Smell Perception	C0037361
3419	3474	GO:0007268	rely on properties of fast excitatory neurotransmission	synaptic transmission	Synaptic Transmission	C0027793
3580	3597	GO:0007567	by genetic means,	parturition	Birth	C0005615
3580	3597	GO:0000003	by genetic means,	reproduction	Reproduction	C0035150
3948	3973	GO:0009058	involved in the formation	anabolism	Anabolism	C0220781
4286	4290	GO:0046930	pore	pore	Pore	C1325742
4337	4348	GO:0009451	RNA editing	RNA editing	RNA Editing	C0162782
4592	4626	GO:0007567	demonstrated in gene-targeted mice	parturition	Birth	C0005615
4592	4626	GO:0000003	demonstrated in gene-targeted mice	reproduction	Reproduction	C0035150
4702	4724	GO:0007608	in the olfactory bulb,	smell perception	Smell Perception	C0037361
4769	4773	GO:0005623	cell	cell	Cells	C0007634
4909	4930	GO:0007268	synaptic transmission	synaptic transmission	Synaptic Transmission	C0027793
5390	5398	GO:0007610	behavior	behavior	Behavior	C0004927
5529	5537	GO:0007610	behavior	behavior	Behavior	C0004927
5655	5663	GO:0007610	behavior	behavior	Behavior	C0004927
