StartIndex	EndIndex	GO:ID	Term	ConceptName	PreferredName	CUID
19	70	GO:0007567	targeted disruption of the mouse gene encoding esg1	parturition	Birth	C0005615
19	70	GO:0000003	targeted disruption of the mouse gene encoding esg1	reproduction	Reproduction	C0035150
113	155	GO:0009790	embryonic stem cell-specific gene (esg) 1,	embryo development	Embryonic Development	C0013936
218	245	GO:0009790	expressed in early embryos,	embryo development	Embryonic Development	C0013936
251	255	GO:0005623	cell	cell	Cells	C0007634
262	288	GO:0009790	embryonic stem (es) cells.	embryo development	Embryonic Development	C0013936
343	362	GO:0007567	the mouse esg1 gene	parturition	Birth	C0005615
343	362	GO:0000003	the mouse esg1 gene	reproduction	Reproduction	C0035150
394	425	GO:0050000	their chromosomal localizations	chromosome localization		C1657114
548	562	GO:0007567	the esg1 gene.	parturition	Birth	C0005615
548	562	GO:0000003	the esg1 gene.	reproduction	Reproduction	C0035150
624	643	GO:0007567	the mouse esg1 gene	parturition	Birth	C0005615
624	643	GO:0000003	the mouse esg1 gene	reproduction	Reproduction	C0035150
667	710	GO:0007567	like sequence with a similar gene structure	parturition	Birth	C0005615
667	710	GO:0000003	like sequence with a similar gene structure	reproduction	Reproduction	C0035150
716	726	GO:0005694	chromosome	chromosome	Chromosomes	C0008633
842	882	GO:0007567	the 5' flanking region of the esg1 gene,	parturition	Birth	C0005615
842	882	GO:0000003	the 5' flanking region of the esg1 gene,	reproduction	Reproduction	C0035150
986	990	GO:0005623	cell	cell	Cells	C0007634
1031	1076	GO:0007567	the physiological functions of the esg1 gene,	parturition	Birth	C0005615
1031	1076	GO:0000003	the physiological functions of the esg1 gene,	reproduction	Reproduction	C0035150
1109	1113	GO:0005623	cell	cell	Cells	C0007634
1115	1168	GO:0006310	with a beta-geo cassette by homologous recombination.	DNA recombination	Recombination, Genetic	C0034865
1169	1213	GO:0009790	despite specific expression in early embryos	embryo development	Embryonic Development	C0013936
1223	1227	GO:0005623	cell	cell	Cells	C0007634
1309	1313	GO:0005623	cell	cell	Cells	C0007634
1315	1368	GO:0006310	both by a second independent homologous recombination	DNA recombination	Recombination, Genetic	C0034865
1518	1522	GO:0005623	cell	cell	Cells	C0007634
1534	1538	GO:0005623	cell	cell	Cells	C0007634
1591	1607	GO:0030154	differentiation.	cell differentiation	Cell Differentiation process	C0007589
1621	1641	GO:0007567	the mouse esg1 gene,	parturition	Birth	C0005615
1621	1641	GO:0000003	the mouse esg1 gene,	reproduction	Reproduction	C0035150
1695	1705	GO:0005694	chromosome	chromosome	Chromosomes	C0008633
1756	1760	GO:0005623	cell	cell	Cells	C0007634
1771	1775	GO:0005623	cell	cell	Cells	C0007634
1821	1825	GO:0005623	cell	cell	Cells	C0007634
1872	1897	GO:0009790	embryonic stem (es) cells	embryo development	Embryonic Development	C0013936
1984	1992	GO:0009790	es cells	embryo development	Embryonic Development	C0013936
2122	2126	GO:0005623	cell	cell	Cells	C0007634
2181	2195	GO:0009790	mouse es cells	embryo development	Embryonic Development	C0013936
2196	2248	GO:0007567	an essential component of gene targeting technology.	parturition	Birth	C0005615
2196	2248	GO:0000003	an essential component of gene targeting technology.	reproduction	Reproduction	C0035150
2274	2340	GO:0009790	human es cells attractive sources for cell transplantation therapy	embryo development	Embryonic Development	C0013936
2479	2510	GO:0009790	rapid proliferation of es cells	embryo development	Embryonic Development	C0013936
2560	2564	GO:0005623	cell	cell	Cells	C0007634
2619	2623	GO:0005623	cell	cell	Cells	C0007634
2711	2716	GO:0007567	genes	parturition	Birth	C0005615
2711	2716	GO:0000003	genes	reproduction	Reproduction	C0035150
