StartIndex	EndIndex	GO:ID	ConceptName	PreferredName	CUID
0	31	GO:0050789	regulation of biological process	Regulation of biological process	C1327622
130	142	GO:0030484	muscle fiber	Muscle Fibers	C0242697
177	189	GO:0005739	mitochondria	Mitochondria	C0026237
236	251	GO:0010467	gene expression	Gene Expression	C0017262
262	285	GO:0000988	transcription factor activity		C1148759
529	539	GO:0005777	peroxisome		C0752063
669	681	GO:0030484	muscle fiber	Muscle Fibers	C0242697
766	781	GO:0010467	gene expression	Gene Expression	C0017262
875	908	GO:0044237	cellular metabolic process	Metabolic Process, Cellular	C1524026
1122	1134	GO:0030484	muscle fiber	Muscle Fibers	C0242697
1199	1215	GO:0006096	glycolysis	Glycolysis	C0017952
1284	1294	GO:0008152	metabolism	Metabolism	C0025519
1345	1357	GO:0005739	mitochondria	Mitochondria	C0026237
1378	1421	GO:0009060	respiration	Cell Respiration	C0282636
1611	1623	GO:0005739	mitochondria	Mitochondria	C0026237
1611	1653	GO:0000001	mitochondrial inheritance	Mitochondrial Inheritance	C0887941
1656	1685	GO:0006096	glycolysis	Glycolysis	C0017952
2159	2170	GO:1990343	heterochromatin domain		C3714912
2192	2204	GO:0030484	muscle fiber	Muscle Fibers	C0242697
2272	2289	GO:0019722	calcium signaling	Calcium Signaling	C0600431
2312	2324	GO:0033192	calcineurin activity	Calcineurin activity	C1149946
2362	2375	GO:0006351	transcription	Transcription, Genetic	C0040649
2555	2591	GO:0000988	transcription factor activity		C1148759
2631	2661	GO:0006936	muscle contraction	Muscle Contraction	C0026820
2666	2681	GO:0044237	cellular metabolic process	Metabolic Process, Cellular	C1524026
2708	2720	GO:0030484	muscle fiber	Muscle Fibers	C0242697
3000	3020	GO:0006096	glycolysis	Glycolysis	C0017952
3417	3427	GO:0005777	peroxisome		C0752063
3484	3497	GO:0006351	transcription	Transcription, Genetic	C0040649
3573	3625	GO:0006635	fatty acid beta-oxidation		C1158368
3668	3724	GO:0005777	peroxisome		C0752063
3798	3841	GO:0000988	transcription factor activity		C1148759
3856	3905	GO:0009058	anabolism	Anabolism	C0220781
4072	4084	GO:0030484	muscle fiber	Muscle Fibers	C0242697
4124	4136	GO:0030484	muscle fiber	Muscle Fibers	C0242697
4325	4337	GO:0030484	muscle fiber	Muscle Fibers	C0242697
4775	4787	GO:0030484	muscle fiber	Muscle Fibers	C0242697
4803	4815	GO:0005739	mitochondria	Mitochondria	C0026237
4879	4919	GO:0043038	amino acid activation	Activation of Amino Acids	C0002511
5298	5310	GO:0030484	muscle fiber	Muscle Fibers	C0242697
5799	5808	GO:0007601	vision	Vision	C0042789
5948	5978	GO:0000785	chromatin	chromatin location	C1325550
6070	6082	GO:0030484	muscle fiber	Muscle Fibers	C0242697
6302	6314	GO:0030484	muscle fiber	Muscle Fibers	C0242697
6503	6515	GO:0005739	mitochondria	Mitochondria	C0026237
6503	6525	GO:0000001	mitochondrial inheritance	Mitochondrial Inheritance	C0887941
6612	6658	GO:0044429	mitochondrial subcomponent	Part of mitochondrion	C1179844
6660	6672	GO:0009461	cytochrome c	cytochrome c activity	C1153524
6677	6689	GO:0009461	cytochrome c	cytochrome c activity	C1153524
6719	6752	GO:0006635	fatty acid beta-oxidation		C1158368
6921	6933	GO:0030484	muscle fiber	Muscle Fibers	C0242697
6945	6957	GO:0005739	mitochondria	Mitochondria	C0026237
7119	7139	GO:0000262	mitochondrial genome	Genome, Mitochondrial	C1819716
7194	7211	GO:0000262	mitochondrial DNA location		C1819717
7340	7352	GO:0005739	mitochondria	Mitochondria	C0026237
7410	7422	GO:0030484	muscle fiber	Muscle Fibers	C0242697
7579	7591	GO:0009461	cytochrome c	cytochrome c activity	C1153524
7986	8007	GO:0007567	parturition	Birth	C0005615
7986	8007	GO:0000003	reproduction	Reproduction	C0035150
8186	8228	GO:0007567	parturition	Birth	C0005615
8229	8241	GO:0005739	mitochondria	Mitochondria	C0026237
8374	8386	GO:0030484	muscle fiber	Muscle Fibers	C0242697
8480	8492	GO:0030484	muscle fiber	Muscle Fibers	C0242697
9436	9440	GO:0005623	cell	Cells	C0007634
9910	9940	GO:0007567	parturition	Birth	C0005615
9910	9940	GO:0000003	reproduction	Reproduction	C0035150
9952	9964	GO:0030484	muscle fiber	Muscle Fibers	C0242697
10170	10182	GO:0030484	muscle fiber	Muscle Fibers	C0242697
11175	11178	GO:0007601	vision	Vision	C0042789
11636	11648	GO:0030484	muscle fiber	Muscle Fibers	C0242697
11705	11717	GO:0030484	muscle fiber	Muscle Fibers	C0242697
12199	12212	GO:0006351	transcription	Transcription, Genetic	C0040649
12236	12248	GO:0030484	muscle fiber	Muscle Fibers	C0242697
12483	12495	GO:0005739	mitochondria	Mitochondria	C0026237
12513	12573	GO:0043292	contractile fiber		C1752744
12597	12609	GO:0030484	muscle fiber	Muscle Fibers	C0242697
12704	12708	GO:0007601	vision	Vision	C0042789
12861	12873	GO:0030484	muscle fiber	Muscle Fibers	C0242697
12995	13007	GO:0030484	muscle fiber	Muscle Fibers	C0242697
13141	13153	GO:0030484	muscle fiber	Muscle Fibers	C0242697
13221	13232	GO:0060384	innervation	innervation aspect	C1619351
13261	13292	GO:0044237	cellular metabolic process	Metabolic Process, Cellular	C1524026
13303	13343	GO:0015074	DNA integration	DNA Integration	C1158478
13550	13579	GO:0000988	transcription factor activity		C1148759
13680	13699	GO:0033192	calcineurin activity	Calcineurin activity	C1149946
13866	13879	GO:0006351	transcription	Transcription, Genetic	C0040649
14049	14061	GO:0030484	muscle fiber	Muscle Fibers	C0242697
14786	14837	GO:1902698	acidogenesis		C3823112
14851	14862	GO:1902698	acidogenesis		C3823112
15273	15323	GO:0007165	signal transduction	Signal Transduction	C0037083
15273	15323	GO:0023052	biological signaling		C3537152
15495	15507	GO:0030484	muscle fiber	Muscle Fibers	C0242697
15599	15620	GO:1902698	acidogenesis		C3823112
15625	15643	GO:0006006	glucose metabolism		C0596620
15905	15949	GO:0045014	negative regulation of transcription by glucose		C1158774
16113	16125	GO:0005739	mitochondria	Mitochondria	C0026237
16113	16156	GO:0000001	mitochondrial inheritance	Mitochondrial Inheritance	C0887941
16212	16224	GO:0005739	mitochondria	Mitochondria	C0026237
16351	16356	GO:0007568	aging	Aging	C0001811
16463	16475	GO:0030484	muscle fiber	Muscle Fibers	C0242697
16511	16531	GO:0002524	hypersensitivity	Hypersensitivity	C0020517
16756	16771	GO:2000144	transactivation	Trans-Activation, Genetic	C0040624
16779	16803	GO:1902698	acidogenesis		C3823112
17836	17851	GO:0010467	gene expression	Gene Expression	C0017262
18019	18029	GO:0042571	immunoglobulin complex location, circulating	Immunoglobulin complex location, circulating	C3665580
18625	18637	GO:0030484	muscle fiber	Muscle Fibers	C0242697
18649	18676	GO:0000262	mitochondrial DNA location		C1819717
18678	18690	GO:0030484	muscle fiber	Muscle Fibers	C0242697
18811	18823	GO:0005739	mitochondria	Mitochondria	C0026237
18861	18878	GO:0000262	mitochondrial DNA location		C1819717
20407	20411	GO:0005623	cell	Cells	C0007634
20490	20493	GO:0006898	receptor-mediated endocytosis	Receptor Mediated Endocytosis	C0597361
20639	20650	GO:0032502	development	Biologic Development	C0678723
20776	20788	GO:0009461	cytochrome c	cytochrome c activity	C1153524
20798	20845	GO:0004095	carnitine palmitoyltransferase I	carnitine palmitoyltransferase I activity	C2258044
20860	20870	GO:0005777	peroxisome		C0752063
20936	20946	GO:0005777	peroxisome		C0752063
21316	21319	GO:0043739	MUG	G/U mismatch-specific uracil-DNA glycosylase activity 	C2248641
21382	21418	GO:0042571	immunoglobulin complex location, circulating	Immunoglobulin complex location, circulating	C3665580
21548	21551	GO:0043739	MUG	G/U mismatch-specific uracil-DNA glycosylase activity 	C2248641
21683	21686	GO:0043739	MUG	G/U mismatch-specific uracil-DNA glycosylase activity 	C2248641
21796	21829	GO:0042571	immunoglobulin complex location, circulating	Immunoglobulin complex location, circulating	C3665580
21863	21909	GO:0042571	immunoglobulin complex location, circulating	Immunoglobulin complex location, circulating	C3665580
22234	22239	GO:0007567	parturition	Birth	C0005615
22234	22239	GO:0000003	reproduction	Reproduction	C0035150
22279	22291	GO:0005739	mitochondria	Mitochondria	C0026237
22323	22326	GO:0043739	MUG	G/U mismatch-specific uracil-DNA glycosylase activity 	C2248641
22452	22495	GO:0007567	parturition	Birth	C0005615
22452	22495	GO:0000003	reproduction	Reproduction	C0035150
22533	22536	GO:0043739	MUG	G/U mismatch-specific uracil-DNA glycosylase activity 	C2248641
22648	22668	GO:0000262	mitochondrial genome	Genome, Mitochondrial	C1819716
22834	22857	GO:0000262	mitochondrial DNA location		C1819717
22904	22947	GO:0000262	mitochondrial DNA location		C1819717
23025	23037	GO:0030484	muscle fiber	Muscle Fibers	C0242697
23050	23075	GO:0044429	mitochondrial subcomponent	Part of mitochondrion	C1179844
23105	23108	GO:0043739	MUG	G/U mismatch-specific uracil-DNA glycosylase activity 	C2248641
23255	23258	GO:0043739	MUG	G/U mismatch-specific uracil-DNA glycosylase activity 	C2248641
23255	23267	GO:0043739	MUG	G/U mismatch-specific uracil-DNA glycosylase activity 	C2248641
24790	24806	GO:0000003	reproduction	Reproduction	C0035150
25723	25726	GO:0006898	receptor-mediated endocytosis	Receptor Mediated Endocytosis	C0597361
25723	25726	GO:0006898	receptor-mediated endocytosis	Receptor Mediated Endocytosis	C0597361
25723	25726	GO:0006898	receptor-mediated endocytosis	Receptor Mediated Endocytosis	C0597361
26081	26112	GO:0050789	regulation of biological process	Regulation of biological process	C1327622
