StartIndex	EndIndex	GO:ID	Term	ConceptName	PreferredName	CUID
13	63	GO:0009790	required for preimplantation embryonic development	embryo development	Embryonic Development	C0013936
157	190	GO:0016477	implicated in cellular migration,	cell migration	Migration, Cell	C1622501
191	201	GO:0007049	cell cycle	cell cycle	Cell Cycle	C0007586
191	214	GO:0000278	cell cycle progression,	mitotic cell cycle	Mitotic Cell Cycle	C1155839
242	252	GO:0008219	cell death	cell death	Cell Death	C0007587
429	463	GO:0007567	disruption of the mouse capn4 gene	parturition	Birth	C0005615
429	463	GO:0000003	disruption of the mouse capn4 gene	reproduction	Reproduction	C0035150
496	512	GO:0004198	calpain activity	calpain activity		C1150129
518	550	GO:0009790	resulted in embryonic lethality,	embryo development	Embryonic Development	C0013936
619	650	GO:0009790	during mammalian embryogenesis.	embryo development	Embryonic Development	C0013936
651	679	GO:0007567	disruption of the capn1 gene	parturition	Birth	C0005615
651	679	GO:0000003	disruption of the capn1 gene	reproduction	Reproduction	C0035150
938	988	GO:0007567	an essential coding region in the mouse capn2 gene	parturition	Birth	C0005615
938	988	GO:0000003	an essential coding region in the mouse capn2 gene	reproduction	Reproduction	C0035150
989	1013	GO:0009790	in embryonic stems cells	embryo development	Embryonic Development	C0013936
1164	1182	GO:0009790	implanted embryos.	embryo development	Embryonic Development	C0013936
1237	1278	GO:0009790	homozygous preimplantation mutant embryos	embryo development	Embryonic Development	C0013936
1365	1409	GO:0007567	that homozygous disruption of the capn2 gene	parturition	Birth	C0005615
1365	1409	GO:0000003	that homozygous disruption of the capn2 gene	reproduction	Reproduction	C0035150
1410	1457	GO:0003904	results in pre-implantation embryonic lethality	photoreactivating enzyme activity		C2257086
1593	1652	GO:0009790	vital for development of the preimplantation murine embryo.	embryo development	Embryonic Development	C0013936
1782	1819	GO:0007567	the founding members of a gene family	parturition	Birth	C0005615
1782	1819	GO:0000003	the founding members of a gene family	reproduction	Reproduction	C0035150
1831	1850	GO:0007567	13 genes in mammals	parturition	Birth	C0005615
1831	1850	GO:0000003	13 genes in mammals	reproduction	Reproduction	C0035150
1989	1995	GO:0007567	genes,	parturition	Birth	C0005615
1989	1995	GO:0000003	genes,	reproduction	Reproduction	C0035150
2065	2091	GO:0007567	encoded by the capn4 gene.	parturition	Birth	C0005615
2065	2091	GO:0000003	encoded by the capn4 gene.	reproduction	Reproduction	C0035150
2130	2163	GO:1902698	62% amino acid sequence identity,	acidogenesis		C3823112
2130	2163	GO:1902705	62% amino acid sequence identity,	acidogenesis		C3823112
2130	2163	GO:1902706	62% amino acid sequence identity,	acidogenesis		C3823112
2130	2163	GO:1902699	62% amino acid sequence identity,	acidogenesis		C3823112
2655	2698	GO:0002524	their differential sensitivities to calcium	hypersensitivity	Hypersensitivity	C0020517
2785	2794	GO:0005737	cytoplasm	cytoplasm	Cytoplasm	C0010834
2902	2943	GO:0050789	contribute to regulation of these enzymes	regulation of biological process	Regulation of biological process	C1327622
3002	3018	GO:0004198	calpain activity	calpain activity		C1150129
3049	3084	GO:0008150	elucidation of biological functions	biological process	Biological Processes	C3714634
3207	3213	GO:0040007	growth	growth	Growth	C0018270
3215	3226	GO:0032502	development	development	Biologic Development	C0678723
3246	3261	GO:0022008	neuronal growth	neurogenesis	Neurogenesis	C0814002
3289	3299	GO:0007049	cell cycle	cell cycle	Cell Cycle	C0007586
3289	3311	GO:0000278	cell cycle progression	mitotic cell cycle	Mitotic Cell Cycle	C1155839
3362	3368	GO:0040007	growth	growth	Growth	C0018270
