StartIndex	EndIndex	GO:ID	Term	ConceptName	PreferredName	CUID
0	20	GO:0009790	embryonic stem cells	embryo development	Embryonic Development	C0013936
263	362	GO:0008218	in recent years green fluorescent protein (gfp) from the bioluminescent jellyfish aequoria victoria	bioluminescence	Bioluminescence	C0162404
409	431	GO:0007567	gene targeting regimes	parturition	Birth	C0005615
409	431	GO:0000003	gene targeting regimes	reproduction	Reproduction	C0035150
447	505	GO:0007567	several advantages over conventional gene-based reporters,	parturition	Birth	C0005615
447	505	GO:0000003	several advantages over conventional gene-based reporters,	reproduction	Reproduction	C0035150
523	544	GO:0016791	alkaline phosphatase,	phosphoric monoester hydrolase activity		C1149880
689	700	GO:0032502	development	development	Biologic Development	C0678723
759	787	GO:0009790	in embryonic stem (es) cells	embryo development	Embryonic Development	C0013936
839	885	GO:0009790	embryonic stem (es) cell-mediated transgenesis	embryo development	Embryonic Development	C0013936
1002	1059	GO:0000785	spectrally distinct color variants of wild type (wt) gfp.	chromatin	chromatin location	C1325550
1228	1257	GO:0009790	established lines of es cells	embryo development	Embryonic Development	C0013936
1674	1687	GO:0009790	eyfp es cells	embryo development	Embryonic Development	C0013936
1695	1703	GO:0009790	embryos,	embryo development	Embryonic Development	C0013936
1736	1740	GO:0005623	cell	cell	Cells	C0007634
1984	1988	GO:0005623	cell	cell	Cells	C0007634
2041	2045	GO:0005623	cell	cell	Cells	C0007634
2085	2118	GO:0006310	tagged recombination experiments,	DNA recombination	Recombination, Genetic	C0034865
2259	2289	GO:0007567	for mammalian genetic studies.	parturition	Birth	C0005615
2259	2289	GO:0000003	for mammalian genetic studies.	reproduction	Reproduction	C0035150
2315	2326	GO:0006280	mutagenesis	mutagenesis	Mutagenesis Process	C0079866
2386	2413	GO:0007567	gene targeting in es cells,	parturition	Birth	C0005615
2489	2510	GO:0007567	gene-based reporters,	parturition	Birth	C0005615
2489	2510	GO:0000003	gene-based reporters,	reproduction	Reproduction	C0035150
2571	2582	GO:0032502	development	development	Biologic Development	C0678723
2656	2708	GO:0007567	a superior alternative to other gene-based reporters	parturition	Birth	C0005615
2656	2708	GO:0000003	a superior alternative to other gene-based reporters	reproduction	Reproduction	C0035150
2739	2778	GO:0016791	human placental alkaline phosphatase in	phosphoric monoester hydrolase activity		C1149880
