StartIndex	EndIndex	GO:ID	Term	ConceptName	PreferredName	CUID
115	119	GO:0005623	cell	cell	Cells	C0007634
366	399	GO:0000988	ets family transcription factors.	transcription factor activity		C1148759
366	399	GO:0001070	ets family transcription factors.	transcription factor activity		C1148759
366	399	GO:0001071	ets family transcription factors.	transcription factor activity		C1148759
366	399	GO:0003700	ets family transcription factors.	transcription factor activity		C1148759
752	794	GO:0008594	the mechanism of photoreceptor development	photoreceptor cell morphogenesis		C1326034
996	1032	GO:0016569	involved in chromatin modifications.	covalent chromatin modification		C1156198
1121	1136	GO:0010467	gene expression	gene expression	Gene Expression	C0017262
1279	1303	GO:0048468	terminal differentiation	terminal differentiation		C2752630
1336	1349	GO:0006351	transcription	transcription	Transcription, Genetic	C0040649
1370	1420	GO:0020010	regulated by the cone-rod homeodomain protein crx.	conoid		C1166649
1582	1604	GO:0005634	mainly in the nucleus,	cell nucleus	Cell Nucleus	C0007610
1643	1647	GO:0005623	cell	cell	Cells	C0007634
1713	1745	GO:0003677	fused to gal4 dna-binding domain	DNA binding	dna binding	C1148673
1761	1774	GO:0006351	transcription	transcription	Transcription, Genetic	C0040649
1956	1969	GO:0007567	a novel gene,	parturition	Birth	C0005615
1956	1969	GO:0000003	a novel gene,	reproduction	Reproduction	C0035150
2150	2163	GO:0006351	transcription	transcription	Transcription, Genetic	C0040649
2193	2197	GO:0005623	cell	cell	Cells	C0007634
2260	2271	GO:0032502	development	development	Biologic Development	C0678723
2316	2320	GO:0005623	cell	cell	Cells	C0007634
2386	2390	GO:0005623	cell	cell	Cells	C0007634
2405	2409	GO:0005623	cell	cell	Cells	C0007634
2460	2464	GO:0005623	cell	cell	Cells	C0007634
2547	2553	GO:0020010	cones.	conoid		C1166649
2591	2596	GO:0020010	cones	conoid		C1166649
2630	2659	GO:0000785	responsible for color vision.	chromatin	chromatin location	C1325550
2660	2677	GO:0007602	phototransduction	phototransduction	Light Signal Transduction	C0376451
2821	2848	GO:0005488	bound by the opsin proteins	binding	Binding 	C1167622
2872	2893	GO:0020010	cone opsins in cones.	conoid		C1166649
2922	2939	GO:0007602	phototransduction	phototransduction	Light Signal Transduction	C0376451
2991	3012	GO:0016020	membranous structure,	membrane	Membrane	C0596901
3138	3160	GO:0007567	genetic perturbations.	parturition	Birth	C0005615
3138	3160	GO:0000003	genetic perturbations.	reproduction	Reproduction	C0035150
3210	3214	GO:0005623	cell	cell	Cells	C0007634
3228	3239	GO:0032502	development	development	Biologic Development	C0678723
3306	3337	GO:0007567	peaks around the time of birth.	parturition	Birth	C0005615
3338	3358	GO:0020010	cone photoreceptors,	conoid		C1166649
3368	3372	GO:0005623	cell	cell	Cells	C0007634
3386	3390	GO:0005623	cell	cell	Cells	C0007634
3405	3409	GO:0005623	cell	cell	Cells	C0007634
3464	3468	GO:0005623	cell	cell	Cells	C0007634
3520	3524	GO:0005623	cell	cell	Cells	C0007634
3627	3631	GO:0005623	cell	cell	Cells	C0007634
3649	3662	GO:0006351	transcription	transcription	Transcription, Genetic	C0040649
3666	3689	GO:0016569	chromatin modification.	covalent chromatin modification		C1156198
3716	3784	GO:0000988	several important transcription factors of photoreceptor development	transcription factor activity		C1148759
3716	3784	GO:0001070	several important transcription factors of photoreceptor development	transcription factor activity		C1148759
3716	3784	GO:0001071	several important transcription factors of photoreceptor development	transcription factor activity		C1148759
3716	3784	GO:0003700	several important transcription factors of photoreceptor development	transcription factor activity		C1148759
3792	3822	GO:0007567	two otx family homeobox genes,	parturition	Birth	C0005615
3792	3822	GO:0000003	two otx family homeobox genes,	reproduction	Reproduction	C0035150
3867	3890	GO:0001709	cell fate determination	cell fate determination		C1160037
3895	3919	GO:0048468	terminal differentiation	terminal differentiation		C2752630
4010	4014	GO:0005623	cell	cell	Cells	C0007634
4103	4165	GO:0006351	the transcription of various photoreceptor cell-specific genes	cellular transcription		C2755756
4173	4219	GO:0009058	essential for the formation of outer segments,	anabolism	Anabolism	C0220781
4220	4239	GO:0043195	synaptic terminals,	synaptic bouton	Presynaptic Terminals	C0206181
4244	4261	GO:0007602	phototransduction	phototransduction	Light Signal Transduction	C0376451
