StartIndex	EndIndex	GO:ID	ConceptName	PreferredName	CUID
27	50	GO:0004396	hexokinase activity		C1150445
103	121	GO:0006006	glucose metabolism		C0596620
133	158	GO:0008536	Ran GTPase binding		C1325817
217	267	GO:0003674	molecular_function		C1148560
280	325	GO:0008536	Ran GTPase binding		C1325817
392	403	GO:0008536	Ran GTPase binding		C1325817
408	419	GO:0007567	parturition	Birth	C0005615
408	419	GO:0000003	reproduction	Reproduction	C0035150
443	455	GO:0008536	Ran GTPase binding		C1325817
512	562	GO:0008536	Ran GTPase binding		C1325817
567	603	GO:0008536	Ran GTPase binding		C1325817
597	603	GO:0008536	Ran GTPase binding		C1325817
686	698	GO:0005739	mitochondria	Mitochondria	C0026237
686	738	GO:0000001	mitochondrial inheritance	Mitochondrial Inheritance	C0887941
746	756	GO:0006096	glycolysis	Glycolysis	C0017952
811	844	GO:0070728	leucine binding		C2753485
866	884	GO:0051082	chaperone activity		C1149552
909	940	GO:0032502	development	Biologic Development	C0678723
952	978	GO:0008536	Ran GTPase binding		C1325817
986	993	GO:0005829	cytosol	Cytoplasmic matrix	C1383501
1106	1110	GO:0005623	cell	Cells	C0007634
1161	1167	GO:0008536	Ran GTPase binding		C1325817
1231	1263	GO:0008536	Ran GTPase binding		C1325817
1318	1354	GO:0008536	Ran GTPase binding		C1325817
1370	1379	GO:0008536	Ran GTPase binding		C1325817
1410	1438	GO:0008536	Ran GTPase binding		C1325817
1553	1574	GO:0008536	Ran GTPase binding		C1325817
1600	1606	GO:0040007	growth	Growth	C0018270
1617	1672	GO:0006007	glucose catabolic process		C1156395
1677	1692	GO:0006094	gluconeogenesis	Gluconeogenesis	C0017715
1830	1836	GO:0008536	Ran GTPase binding		C1325817
1901	1920	GO:0006007	glucose catabolic process		C1156395
1921	1939	GO:0097009	energy homeostasis		C3157043
1945	1967	GO:0044237	cellular metabolic process	Metabolic Process, Cellular	C1524026
1968	1973	GO:0007568	aging	Aging	C0001811
2020	2045	GO:0008536	Ran GTPase binding		C1325817
2144	2186	GO:0008536	Ran GTPase binding		C1325817
2259	2263	GO:0005623	cell	Cells	C0007634
2290	2331	GO:0008536	Ran GTPase binding		C1325817
2434	2441	GO:0005829	cytosol	Cytoplasmic matrix	C1383501
2498	2511	GO:0051301	cell division	Cell division	C0007590
2520	2531	GO:0007567	parturition	Birth	C0005615
2520	2531	GO:0000003	reproduction	Reproduction	C0035150
2583	2597	GO:0008536	Ran GTPase binding		C1325817
2615	2644	GO:0008536	Ran GTPase binding		C1325817
2736	2748	GO:0005739	mitochondria	Mitochondria	C0026237
2859	2877	GO:0008536	Ran GTPase binding		C1325817
2953	2964	GO:0008536	Ran GTPase binding		C1325817
2974	3003	GO:0004396	hexokinase type I activity		C2260229
3015	3021	GO:0008536	Ran GTPase binding		C1325817
3052	3065	GO:0004396	hexokinase type I activity		C2260229
3089	3110	GO:0005515	protein binding	Protein Binding	C0033618
3148	3154	GO:0040007	growth	Growth	C0018270
3165	3186	GO:0006007	glucose catabolic process		C1156395
3196	3222	GO:0050789	regulation of biological process	Regulation of biological process	C1327622
3293	3309	GO:0007601	vision	Vision	C0042789
3333	3358	GO:0008536	Ran GTPase binding		C1325817
3363	3398	GO:0008152	metabolism	Metabolism	C0025519
3671	3689	GO:0006412	protein biosynthesis	Protein Biosynthesis	C0597295
3697	3734	GO:0030472	mitotic spindle organization in nucleus		C1155676
3751	3767	GO:0005635	nuclear envelope	Nuclear Envelope	C0028584
3777	3826	GO:0015074	DNA integration	DNA Integration	C1158478
3827	3853	GO:0051382	kinetochore assembly		C1656984
3858	3901	GO:0032502	development	Biologic Development	C0678723
4021	4025	GO:0005623	cell	Cells	C0007634
4036	4090	GO:0015074	DNA integration	DNA Integration	C1158478
4114	4118	GO:0005623	cell	Cells	C0007634
4202	4206	GO:0005623	cell	Cells	C0007634
4256	4263	GO:0005488	binding	Binding 	C1167622
4310	4324	GO:0051170	nuclear import	Nuclear Import	C0887839
4365	4390	GO:0042571	immunoglobulin complex location, circulating	Immunoglobulin complex location, circulating	C3665580
4403	4417	GO:0051170	nuclear import	Nuclear Import	C0887839
4822	4833	GO:0005874	microtubule	Microtubules	C0026046
4856	4869	GO:0008574	kinesin activity		C1622129
5138	5172	GO:0003755	cyclophilin activity		C1325303
5310	5320	GO:0000502	proteasome	proteasome complex location 	C1325620
5310	5331	GO:0043161	proteasome pathway	Proteasome Pathway	C1752727
5327	5359	GO:0004842	ubiquitin conjugating enzyme activity		C1151883
5327	5359	GO:0061650	ubiquitin-like protein conjugating enzyme activity		C1151884
5327	5359	GO:0019775	FAT10 conjugating enzyme activity		C1151887
5327	5359	GO:0019777	Atg12 conjugating enzyme activity		C2612339
5327	5359	GO:0072496	Pup conjugating enzyme activity		C3156549
5327	5359	GO:0019787	ubiquitin-like protein transferase activity		C3888074
5327	5359	GO:0004842	ubiquitin-protein transferase activity		C3888151
5327	5359	GO:0061657	UFM1 conjugating enzyme activity		C3889565
5327	5359	GO:0019789	SUMO conjugating enzyme activity		C3889566
5327	5359	GO:0019788	NEDD8 conjugating enzyme activity		C3889567
5327	5359	GO:0061658	URM1 conjugating enzyme activity		C3889568
5327	5359	GO:0061653	E2	ISG15 conjugating enxyme activity	C3889569
5381	5395	GO:0051168	nuclear export	Nuclear Export	C0887840
5482	5506	GO:0004842	ubiquitin protein-ligase activity	ubiquitin-protein ligase activity	C1150685
5626	5633	GO:0005829	cytosol	Cytoplasmic matrix	C1383501
5654	5660	GO:0005096	GTPase activator activity		C1152525
5669	5676	GO:0005829	cytosol	Cytoplasmic matrix	C1383501
5786	5798	GO:0005739	mitochondria	Mitochondria	C0026237
5906	5915	GO:0005737	cytoplasm	Cytoplasm	C0010834
5931	5985	GO:0051179	establishment and maintenance of localization		C1744691
6001	6013	GO:0005643	nuclear pore	Nuclear Pore	C0028587
6122	6134	GO:0009405	pathogenesis	Pathogenesis	C0699748
6270	6288	GO:0016567	protein ubiquitination	Ubiquitination	C1519751
6293	6314	GO:0009056	catabolism	Catabolism	C0699900
6411	6421	GO:0000502	proteasome	proteasome complex location 	C1325620
6411	6437	GO:0043161	proteasome pathway	Proteasome Pathway	C1752727
6443	6490	GO:0008536	Ran GTPase binding		C1325817
6530	6537	GO:0005488	binding	Binding 	C1167622
6565	6588	GO:0007049	cell cycle	Cell Cycle	C0007586
6565	6588	GO:0000278	mitotic cell cycle	Mitotic Cell Cycle	C1155839
6599	6618	GO:0006508	proteolysis	Proteolysis	C0597304
6599	6618	GO:0030163	protein degradation	Protein Degradation, Regulatory	C1623036
6655	6673	GO:0004842	ubiquitin protein-ligase activity	ubiquitin-protein ligase activity	C1150685
6714	6776	GO:0030849	autosome	Autosome	C0596142
6905	6917	GO:0005739	mitochondria	Mitochondria	C0026237
6905	6930	GO:0000001	mitochondrial inheritance	Mitochondrial Inheritance	C0887941
6946	6952	GO:0040007	growth	Growth	C0018270
7005	7014	GO:0005737	cytoplasm	Cytoplasm	C0010834
7100	7153	GO:0000422	mitochondrion autophagy	Mitochondrial Degradation	C1820119
7167	7193	GO:0043526	neuroprotection	Neuroprotection	C0598958
7385	7400	GO:0042995	cellular process		C1325880
7712	7738	GO:0006006	glucose metabolism		C0596620
8130	8142	GO:0009461	cytochrome c	cytochrome c activity	C1153524
