StartIndex	EndIndex	GO:ID	Term	ConceptName	PreferredName	CUID
113	166	GO:0000785	skin color differences along their dorsoventral axis.	chromatin	chromatin location	C1325550
232	244	GO:0043473	pigmentation	pigmentation	Pigmentation	C0031911
366	405	GO:0010468	those under control of the agouti gene.	regulation of gene expression	Gene Expression Regulation	C0017263
471	513	GO:0009289	a sharp boundary between dorsal black hair	pilus	Bacterial Fimbria	C0031921
518	537	GO:0009289	yellow ventral hair	pilus	Bacterial Fimbria	C0031921
567	579	GO:0043473	pigmentation	pigmentation	Pigmentation	C0031911
704	737	GO:0007567	the first exon of the tbx15 gene,	parturition	Birth	C0005615
704	737	GO:0000003	the first exon of the tbx15 gene,	reproduction	Reproduction	C0035150
738	789	GO:0009790	whose embryonic expression in developing mesenchyme	embryo development	Embryonic Development	C0013936
790	816	GO:0043473	correlates with pigmentary	pigmentation	Pigmentation	C0031911
987	1022	GO:0009790	early embryonic expression of tbx15	embryo development	Embryonic Development	C0013936
1151	1166	GO:0009790	in both embryos	embryo development	Embryonic Development	C0013936
1317	1329	GO:0043473	pigmentation	pigmentation	Pigmentation	C0031911
1387	1423	GO:0009790	early embryonic expression of tbx15.	embryo development	Embryonic Development	C0013936
1472	1484	GO:0043473	pigmentation	pigmentation	Pigmentation	C0031911
1549	1553	GO:0005623	cell	cell	Cells	C0007634
1620	1649	GO:0009790	embryonic expression of tbx15	embryo development	Embryonic Development	C0013936
1803	1837	GO:0007567	a novel role for t-box gene action	parturition	Birth	C0005615
1803	1837	GO:0000003	a novel role for t-box gene action	reproduction	Reproduction	C0035150
1838	1863	GO:0009790	in embryonic development,	embryo development	Embryonic Development	C0013936
2123	2134	GO:0032502	development	development	Biologic Development	C0678723
2300	2354	GO:0007165	use of a relatively small number of signaling pathways	signal transduction	Signal Transduction	C0037083
2649	2682	GO:0043473	variation in pigment distribution	pigmentation	Pigmentation	C0031911
2775	2791	GO:0043473	pigment patterns	pigmentation	Pigmentation	C0031911
3005	3020	GO:0000785	color variation	chromatin	chromatin location	C1325550
3105	3139	GO:0043473	a large number of pigment patterns	pigmentation	Pigmentation	C0031911
3269	3284	GO:0000785	color variation	chromatin	chromatin location	C1325550
3386	3412	GO:0043473	many pigmentary components	pigmentation	Pigmentation	C0031911
3468	3472	GO:0005623	cell	cell	Cells	C0007634
3614	3626	GO:0043473	pigmentation	pigmentation	Pigmentation	C0031911
3628	3642	GO:0009790	in the embryo,	embryo development	Embryonic Development	C0013936
3705	3726	GO:0030061	from the neural crest	mitochondrial cristae	Mitochondrial cristae	C0230844
3748	3777	GO:0033059	distribution of pigment cells	cellular pigmentation		C2246453
3823	3845	GO:0009289	within hair follicles,	pilus	Bacterial Fimbria	C0031921
3846	3863	GO:0038001	paracrine signals	paracrine signaling	Paracrine Communication	C0525011
3872	3891	GO:0043473	the type of pigment	pigmentation	Pigmentation	C0031911
3961	3971	GO:0042633	hair cycle	hair cycle		C1327461
4048	4063	GO:0048770	pigment granule	pigment granule		C1820200
4134	4138	GO:0005623	cell	cell	Cells	C0007634
4184	4188	GO:0005623	cell	cell	Cells	C0007634
4337	4349	GO:0043473	pigment-type	pigmentation	Pigmentation	C0031911
4365	4375	GO:0042470	melanosome	melanosome	Melanosomes	C0025213
4490	4549	GO:0000785	one of the most obvious aspects of regional color variation	chromatin	chromatin location	C1325550
4629	4659	GO:0000785	apparent in the color of skin,	chromatin	chromatin location	C1325550
4681	4686	GO:0009289	hair,	pilus	Bacterial Fimbria	C0031921
4840	4882	GO:0009289	this dorsoventral difference in hair color	pilus	Bacterial Fimbria	C0031921
4915	4933	GO:0043473	in pigment type as	pigmentation	Pigmentation	C0031911
4934	4984	GO:0007567	determined by allelic variation of the agouti gene	parturition	Birth	C0005615
4934	4984	GO:0000003	determined by allelic variation of the agouti gene	reproduction	Reproduction	C0035150
5028	5060	GO:0032940	secreted by dermal papilla cells	secretion by cell	Cell secretion	C1327616
5061	5086	GO:0009289	within each hair follicle	pilus	Bacterial Fimbria	C0031921
5359	5369	GO:0042633	hair cycle	hair cycle		C1327461
5854	5867	GO:0006351	transcription	transcription	Transcription, Genetic	C0040649
5916	5926	GO:0042633	hair cycle	hair cycle		C1327461
6019	6030	GO:0042640	hair growth	hair growth	Hair growth	C0232407
6122	6133	GO:0042640	hair growth	hair growth	Hair growth	C0232407
6341	6359	GO:0009289	black dorsal hairs	pilus	Bacterial Fimbria	C0031921
6364	6402	GO:0009289	cream-colored to yellow ventral hairs,	pilus	Bacterial Fimbria	C0031921
6583	6606	GO:0009790	from embryonic day 10.5	embryo development	Embryonic Development	C0013936
6649	6677	GO:0050931	pigment cell differentiation	pigment cell differentiation		C1326095
6810	6835	GO:0009790	established in the embryo	embryo development	Embryonic Development	C0013936
6862	6874	GO:0007567	after birth.	parturition	Birth	C0005615
6908	6937	GO:0000785	ventral color compartments in	chromatin	chromatin location	C1325550
7043	7083	GO:0009653	morphogenetic differences between dorsal	morphogenesis	Morphogenesis	C0026559
7124	7162	GO:0043473	more elements than the type of pigment	pigmentation	Pigmentation	C0031911
7163	7197	GO:0009289	made by hair follicle melanocytes.	pilus	Bacterial Fimbria	C0031921
7237	7266	GO:0007567	at least two distinct origins	parturition	Birth	C0005615
7237	7266	GO:0000003	at least two distinct origins	reproduction	Reproduction	C0035150
7489	7500	GO:0032502	development	development	Biologic Development	C0678723
8178	8194	GO:0030154	differentiation,	cell differentiation	Cell Differentiation process	C0007589
8195	8218	GO:0046148	pigment-type synthesis,	pigment biosynthetic process		C1157717
8223	8234	GO:0009289	hair length	pilus	Bacterial Fimbria	C0031921
8408	8462	GO:0000785	a dorsal-to-ventral transformation of flank coat color	chromatin	chromatin location	C1325550
8554	8569	GO:0007567	gene targeting,	parturition	Birth	C0005615
8554	8569	GO:0000003	gene targeting,	reproduction	Reproduction	C0035150
8659	8687	GO:0000988	a t-box transcription factor	transcription factor activity		C1148759
8659	8687	GO:0001070	a t-box transcription factor	transcription factor activity		C1148759
8659	8687	GO:0001071	a t-box transcription factor	transcription factor activity		C1148759
8659	8687	GO:0003700	a t-box transcription factor	transcription factor activity		C1148759
8794	8814	GO:0009790	embryonic expression	embryo development	Embryonic Development	C0013936
8947	8951	GO:0005623	cell	cell	Cells	C0007634
9278	9312	GO:0009289	besides the obvious change in hair	pilus	Bacterial Fimbria	C0031921
9413	9451	GO:0009289	additional differences in hair length,	pilus	Bacterial Fimbria	C0031921
9452	9478	GO:0009289	distribution of hair type,	pilus	Bacterial Fimbria	C0031921
9540	9552	GO:0043473	pigmentation	pigmentation	Pigmentation	C0031911
9600	9638	GO:0050931	differentiated state of pigment cells,	pigment cell differentiation		C1326095
9650	9669	GO:0043473	the type of pigment	pigmentation	Pigmentation	C0031911
9719	9749	GO:0009289	in particular, ventral hair of	pilus	Bacterial Fimbria	C0031921
10012	10056	GO:0009289	semiquantitative measurements of hair length	pilus	Bacterial Fimbria	C0031921
10163	10194	GO:0043473	ventral pigment compartments in	pigmentation	Pigmentation	C0031911
10243	10261	GO:0009289	in both hair color	pilus	Bacterial Fimbria	C0031921
10266	10277	GO:0009289	hair length	pilus	Bacterial Fimbria	C0031921
10362	10378	GO:0009289	flank hairs from	pilus	Bacterial Fimbria	C0031921
10488	10525	GO:0009419	from the tip to the base of the hair.	pilus tip		C1167056
10560	10575	GO:0009289	for hair length	pilus	Bacterial Fimbria	C0031921
10614	10626	GO:0043473	pigmentation	pigmentation	Pigmentation	C0031911
10672	10689	GO:0042633	hair-cycle timing	hair cycle		C1327461
10726	10762	GO:0009289	measurements of absolute hair length	pilus	Bacterial Fimbria	C0031921
10860	10896	GO:0009289	measurements of relative hair length	pilus	Bacterial Fimbria	C0031921
11070	11099	GO:0009289	that variation of hair length	pilus	Bacterial Fimbria	C0031921
11175	11185	GO:0042633	hair cycle	hair cycle		C1327461
11188	11220	GO:0009289	with a transition in hair length	pilus	Bacterial Fimbria	C0031921
11253	11283	GO:0043473	the pigment-type transition in	pigmentation	Pigmentation	C0031911
11413	11434	GO:0009289	dorsal hair follicles	pilus	Bacterial Fimbria	C0031921
11460	11498	GO:0009289	developed than ventral hair follicles,	pilus	Bacterial Fimbria	C0031921
11682	11720	GO:0009289	the proportion of different hair types	pilus	Bacterial Fimbria	C0031921
11812	11860	GO:0009289	a small decrease in the ratio of undercoat hairs	pilus	Bacterial Fimbria	C0031921
11855	11860	GO:0009289	hairs	pilus	Bacterial Fimbria	C0031921
11910	11921	GO:0009289	guard hairs	pilus	Bacterial Fimbria	C0031921
11980	12030	GO:0009289	no consistent difference in hair-type distribution	pilus	Bacterial Fimbria	C0031921
12106	12118	GO:0043473	pigmentation	pigmentation	Pigmentation	C0031911
12145	12183	GO:0043473	attributed to pigment-type differences	pigmentation	Pigmentation	C0031911
12314	12327	GO:0009289	ventral hairs	pilus	Bacterial Fimbria	C0031921
12341	12372	GO:0009289	less melanin than dorsal hairs,	pilus	Bacterial Fimbria	C0031921
12447	12500	GO:0004503	dopa staining as an indicator of tyrosinase activity,	monophenol monooxygenase activity		C1151118
12801	12838	GO:0004503	downregulation of tyrosinase activity	monophenol monooxygenase activity		C1151118
12858	12893	GO:0009289	melanin content of individual hairs	pilus	Bacterial Fimbria	C0031921
12921	12956	GO:0033059	both by the number of pigment cells	cellular pigmentation		C2246453
13003	13065	GO:0009289	dorsoventral differences in hair pigment content of ae/ae mice	pilus	Bacterial Fimbria	C0031921
13094	13104	GO:0042633	hair cycle	hair cycle		C1327461
13122	13144	GO:0009289	similar to hair length	pilus	Bacterial Fimbria	C0031921
13249	13286	GO:0046148	differences in pigment-type synthesis	pigment biosynthetic process		C1157717
13319	13346	GO:0009289	differences in hair length,	pilus	Bacterial Fimbria	C0031921
13542	13552	GO:0005694	chromosome	chromosome	Chromosomes	C0008633
13879	13898	GO:0007601	widely spaced eyes,	vision	Vision	C0042789
14162	14186	GO:0043473	pigment pattern in a way	pigmentation	Pigmentation	C0031911
14247	14270	GO:0007567	on a genetic background	parturition	Birth	C0005615
14247	14270	GO:0000003	on a genetic background	reproduction	Reproduction	C0035150
14296	14310	GO:0009289	the belly hair	pilus	Bacterial Fimbria	C0031921
14317	14344	GO:0009289	lighter than the back hair,	pilus	Bacterial Fimbria	C0031921
14345	14359	GO:0009289	the belly hair	pilus	Bacterial Fimbria	C0031921
14430	14470	GO:0043473	an abnormal dorsoventral pigment pattern	pigmentation	Pigmentation	C0031911
14673	14701	GO:0009289	short hairs with a gray base	pilus	Bacterial Fimbria	C0031921
14943	14958	GO:0009289	yellow hairs of	pilus	Bacterial Fimbria	C0031921
15896	15956	GO:0043473	other dorsoventral skin characteristics besides pigment-type	pigmentation	Pigmentation	C0031911
15980	16006	GO:0009289	its effects on hair length	pilus	Bacterial Fimbria	C0031921
16011	16023	GO:0043473	pigmentation	pigmentation	Pigmentation	C0031911
16080	16115	GO:0009289	consistent reduction in hair length	pilus	Bacterial Fimbria	C0031921
16217	16236	GO:0009289	reduced hair length	pilus	Bacterial Fimbria	C0031921
16386	16409	GO:0000785	no coat-color phenotype	chromatin	chromatin location	C1325550
16521	16533	GO:0007567	after birth,	parturition	Birth	C0005615
16642	16685	GO:0030061	melanoblast migration from the neural crest	mitochondrial cristae	Mitochondrial cristae	C0230844
16746	16772	GO:0030318	melanocyte differentiation	melanocyte differentiation		C1159929
16777	16795	GO:0046148	pigment synthesis.	pigment biosynthetic process		C1157717
17174	17190	GO:0043588	skin development	skin development		C1655760
17360	17386	GO:0030318	melanocyte differentiation	melanocyte differentiation		C1159929
17388	17423	GO:0009058	by promoting pheomelanin synthesis,	anabolism	Anabolism	C0220781
17468	17479	GO:0042640	hair growth	hair growth	Hair growth	C0232407
17524	17532	GO:0007567	the gene	parturition	Birth	C0005615
17524	17532	GO:0000003	the gene	reproduction	Reproduction	C0035150
17874	17884	GO:0005694	chromosome	chromosome	Chromosomes	C0008633
18158	18169	GO:0032502	development	development	Biologic Development	C0678723
18262	18289	GO:0007567	that contained eight genes,	parturition	Birth	C0005615
18262	18289	GO:0000003	that contained eight genes,	reproduction	Reproduction	C0035150
18468	18519	GO:0009790	its embryonic expression in the craniofacial region	embryo development	Embryonic Development	C0013936
18743	18756	GO:0007567	the same gene	parturition	Birth	C0005615
18743	18756	GO:0000003	the same gene	reproduction	Reproduction	C0035150
19157	19209	GO:0043631	to 148 kb downstream of the polyadenylation sequence	RNA polyadenylation	Polyadenylation	C0949765
19411	19421	GO:0005694	chromosome	chromosome	Chromosomes	C0008633
19470	19496	GO:1902698	534 of the 602 amino acids	acidogenesis		C3823112
19470	19496	GO:1902705	534 of the 602 amino acids	acidogenesis		C3823112
19470	19496	GO:1902706	534 of the 602 amino acids	acidogenesis		C3823112
19470	19496	GO:1902699	534 of the 602 amino acids	acidogenesis		C3823112
19525	19553	GO:0003677	the t-box dna-binding domain	DNA binding	dna binding	C1148673
19719	19730	GO:0007567	other genes	parturition	Birth	C0005615
