StartIndex	EndIndex	GO:ID	Term	ConceptName	PreferredName	CUID
0	19	GO:0007165	a signaling pathway	signal transduction	Signal Transduction	C0037083
53	80	GO:0031069	hair follicle morphogenesis	hair follicle morphogenesis		C1523544
113	126	GO:0048513	organogenesis	organogenesis	Organogenesis	C0242290
128	196	GO:0007165	certain cells within a multipotent epithelial sheet exchange signals	signal transduction	Signal Transduction	C0037083
258	295	GO:0009289	hair bud morphogenesis as a paradigm,	pilus	Bacterial Fimbria	C0031921
396	409	GO:0005576	extracellular	extracellular	Extracellular	C0521119
492	496	GO:0005623	cell	cell	Cells	C0007634
535	541	GO:0040007	growth	growth	Growth	C0018270
600	630	GO:0000988	the transcription factor snail	transcription factor activity		C1148759
600	630	GO:0001070	the transcription factor snail	transcription factor activity		C1148759
600	630	GO:0001071	the transcription factor snail	transcription factor activity		C1148759
600	630	GO:0003700	the transcription factor snail	transcription factor activity		C1148759
644	711	GO:0008284	the ras-mitogen-activated protein kinase (mapk) pathway in the bud.	stimulation of cell proliferation	Stimulation of Cell Proliferation	C1156237
923	935	GO:0007165	in signaling	signal transduction	Signal Transduction	C0037083
923	935	GO:0023052	in signaling	biological signaling		C3537152
954	958	GO:0005623	cell	cell	Cells	C0007634
1005	1034	GO:0008284	leads to ras-mapk activation.	stimulation of cell proliferation	Stimulation of Cell Proliferation	C1156237
1087	1091	GO:0005623	cell	cell	Cells	C0007634
1134	1147	GO:0006351	transcription	transcription	Transcription, Genetic	C0040649
1215	1229	GO:0009058	bud formation.	anabolism	Anabolism	C0220781
1230	1258	GO:0007165	this novel signaling pathway	signal transduction	Signal Transduction	C0037083
1330	1343	GO:0006351	transcription	transcription	Transcription, Genetic	C0040649
1364	1410	GO:0009297	hair bud formation within the developing skin.	pilus assembly		C1155942
1436	1447	GO:0032502	development	development	Biologic Development	C0678723
1461	1474	GO:0009653	morphogenesis	morphogenesis	Morphogenesis	C0026559
1558	1562	GO:0005623	cell	cell	Cells	C0007634
