StartIndex	EndIndex	GO:ID	ConceptName	PreferredName	CUID
64	81	GO:0007530	sex determination	Sex determination	C1367886
93	102	GO:0007567	parturition	Birth	C0005615
93	102	GO:0000003	reproduction	Reproduction	C0035150
112	165	GO:0015074	DNA integration	DNA Integration	C1158478
187	193	GO:0040007	growth	Growth	C0018270
227	233	GO:0040007	growth	Growth	C0018270
235	248	GO:0009653	morphogenesis	Morphogenesis	C0026559
254	293	GO:0030154	cell differentiation	Cell Differentiation process	C0007589
301	312	GO:0032502	development	Biologic Development	C0678723
389	406	GO:0007530	sex determination	Sex determination	C1367886
468	505	GO:0008584	male gonad development		C1160271
572	602	GO:0019953	sexual reproduction		C0871354
692	698	GO:0040007	growth	Growth	C0018270
760	777	GO:0007530	sex determination	Sex determination	C1367886
1299	1316	GO:0007530	sex determination	Sex determination	C1367886
1385	1435	GO:0007165	signal transduction	Signal Transduction	C0037083
1455	1466	GO:0032502	development	Biologic Development	C0678723
1608	1619	GO:0032502	development	Biologic Development	C0678723
1620	1657	GO:0009790	embryo development	Embryonic Development	C0013936
1684	1718	GO:0008406	gonad development		C1160264
1890	1909	GO:0009790	embryo development	Embryonic Development	C0013936
1951	1955	GO:0005623	cell	Cells	C0007634
1961	1975	GO:0043025	neuron cell body	Cell body of neuron	C0599444
2021	2025	GO:0005623	cell	Cells	C0007634
2154	2158	GO:0005623	cell	Cells	C0007634
2202	2213	GO:0032502	development	Biologic Development	C0678723
2226	2243	GO:0007567	parturition	Birth	C0005615
2226	2243	GO:0000003	reproduction	Reproduction	C0035150
2312	2418	GO:0002524	hypersensitivity	Hypersensitivity	C0020517
2465	2471	GO:0040007	growth	Growth	C0018270
2492	2533	GO:0015074	DNA integration	DNA Integration	C1158478
2642	2659	GO:0007530	sex determination	Sex determination	C1367886
2695	2706	GO:0032502	development	Biologic Development	C0678723
2728	2755	GO:0007567	parturition	Birth	C0005615
2728	2755	GO:0000003	reproduction	Reproduction	C0035150
2778	2816	GO:0008584	male gonad development		C1160271
2878	2882	GO:0005623	cell	Cells	C0007634
2906	2944	GO:0009653	morphogenesis	Morphogenesis	C0026559
3076	3094	GO:0016477	cell migration	Migration, Cell	C1622501
3106	3127	GO:0009058	anabolism	Anabolism	C0220781
3173	3201	GO:0060008	Sertoli cell differentiation		C1817144
3209	3236	GO:0097537	Y-shaped link		C3821134
3240	3283	GO:0019953	sexual reproduction		C0871354
3326	3340	GO:0009790	embryo development	Embryonic Development	C0013936
3341	3357	GO:0009790	embryo development	Embryonic Development	C0013936
3385	3389	GO:0005623	cell	Cells	C0007634
3411	3446	GO:0030154	cell differentiation	Cell Differentiation process	C0007589
3447	3482	GO:0007567	parturition	Birth	C0005615
3447	3482	GO:0000003	reproduction	Reproduction	C0035150
3587	3645	GO:0044297	cell body		C2752549
3685	3689	GO:0005623	cell	Cells	C0007634
3691	3721	GO:0030154	cell differentiation	Cell Differentiation process	C0007589
3749	3753	GO:0005623	cell	Cells	C0007634
3779	3783	GO:0005623	cell	Cells	C0007634
3799	3803	GO:0005623	cell	Cells	C0007634
3859	3863	GO:0005623	cell	Cells	C0007634
3877	3881	GO:0005623	cell	Cells	C0007634
3997	4001	GO:0005623	cell	Cells	C0007634
4028	4050	GO:0030154	cell differentiation	Cell Differentiation process	C0007589
4111	4132	GO:0030154	cell differentiation	Cell Differentiation process	C0007589
4170	4204	GO:0010467	gene expression	Gene Expression	C0017262
4236	4268	GO:0007567	parturition	Birth	C0005615
4236	4268	GO:0000003	reproduction	Reproduction	C0035150
4283	4337	GO:0001558	regulation of cell growth	Cell Growth Regulation	C0596286
4341	4355	GO:0007567	parturition	Birth	C0005615
4341	4355	GO:0000003	reproduction	Reproduction	C0035150
4382	4407	GO:0009790	embryo development	Embryonic Development	C0013936
4556	4583	GO:0008584	male gonad development		C1160271
4650	4667	GO:0007530	sex determination	Sex determination	C1367886
4897	4901	GO:0005623	cell	Cells	C0007634
