StartIndex	EndIndex	GO:ID	ConceptName	PreferredName	CUID
0	84	GO:0007567	parturition	Birth	C0005615
0	84	GO:0000003	reproduction	Reproduction	C0035150
94	104	GO:0005694	chromosome	Chromosomes	C0008633
190	261	GO:0005260	cystic-fibrosis membrane-conductance-regulating protein activity		C2262295
316	348	GO:0007567	parturition	Birth	C0005615
316	348	GO:0000003	reproduction	Reproduction	C0035150
434	465	GO:0070701	mucus layer		C2753459
570	627	GO:0007567	parturition	Birth	C0005615
570	627	GO:0000003	reproduction	Reproduction	C0035150
720	732	GO:0006954	Inflammation		C0021368
906	943	GO:0007567	parturition	Birth	C0005615
906	943	GO:0000003	reproduction	Reproduction	C0035150
1206	1218	GO:0006954	Inflammation		C0021368
1254	1271	GO:0007567	parturition	Birth	C0005615
1254	1271	GO:0000003	reproduction	Reproduction	C0035150
1316	1368	GO:0070701	mucus layer		C2753459
2047	2081	GO:0007567	parturition	Birth	C0005615
2047	2081	GO:0000003	reproduction	Reproduction	C0035150
2097	2178	GO:0007567	parturition	Birth	C0005615
2097	2178	GO:0000003	reproduction	Reproduction	C0035150
2236	2306	GO:0005260	cystic-fibrosis membrane-conductance-regulating protein activity		C2262295
2919	2930	GO:0007567	parturition	Birth	C0005615
2919	2930	GO:0000003	reproduction	Reproduction	C0035150
3062	3071	GO:0007586	digestion	Digestion	C0012238
3232	3262	GO:1902698	acidogenesis		C3823112
3326	3335	GO:0007586	digestion	Digestion	C0012238
3563	3617	GO:0070701	mucus layer		C2753459
3636	3648	GO:0006954	Inflammation		C0021368
3665	3670	GO:0070701	mucus layer		C2753459
3894	3906	GO:0006954	Inflammation		C0021368
3999	4015	GO:0007567	parturition	Birth	C0005615
3999	4015	GO:0000003	reproduction	Reproduction	C0035150
4060	4089	GO:0007567	parturition	Birth	C0005615
4060	4089	GO:0000003	reproduction	Reproduction	C0035150
4170	4189	GO:0007567	parturition	Birth	C0005615
4170	4189	GO:0000003	reproduction	Reproduction	C0035150
4272	4313	GO:0007567	parturition	Birth	C0005615
4272	4313	GO:0000003	reproduction	Reproduction	C0035150
4314	4344	GO:0098687	chromosome region	Region of chromosome	C1953345
4507	4573	GO:0098687	chromosome region	Region of chromosome	C1953345
4722	4734	GO:0006954	Inflammation		C0021368
4762	4766	GO:0005623	cell	Cells	C0007634
5450	5489	GO:0007567	parturition	Birth	C0005615
5450	5489	GO:0000003	reproduction	Reproduction	C0035150
6427	6455	GO:0007567	parturition	Birth	C0005615
6427	6455	GO:0000003	reproduction	Reproduction	C0035150
7070	7082	GO:0006954	Inflammation		C0021368
7133	7161	GO:0007567	parturition	Birth	C0005615
7133	7161	GO:0000003	reproduction	Reproduction	C0035150
7171	7211	GO:0010467	gene expression	Gene Expression	C0017262
7263	7278	GO:0010467	gene expression	Gene Expression	C0017262
7280	7313	GO:0010467	gene expression	Gene Expression	C0017262
7344	7389	GO:0007567	parturition	Birth	C0005615
7344	7389	GO:0000003	reproduction	Reproduction	C0035150
7395	7399	GO:0005623	cell	Cells	C0007634
7422	7459	GO:0060374	mast cell differentiation		C2610521
7454	7458	GO:0005623	cell	Cells	C0007634
7672	7685	GO:0007567	parturition	Birth	C0005615
7672	7685	GO:0000003	reproduction	Reproduction	C0035150
7733	7737	GO:0005623	cell	Cells	C0007634
7864	7876	GO:0006954	Inflammation		C0021368
7886	7917	GO:0030097	hematopoiesis	Hematopoiesis	C0018951
7953	7971	GO:0008283	cell proliferation	Cell Proliferation	C0596290
8081	8100	GO:0007567	parturition	Birth	C0005615
8081	8100	GO:0000003	reproduction	Reproduction	C0035150
8141	8145	GO:0005623	cell	Cells	C0007634
8184	8218	GO:0007165	signal transduction	Signal Transduction	C0037083
8184	8218	GO:0023052	biological signaling		C3537152
8236	8261	GO:0007567	parturition	Birth	C0005615
8236	8261	GO:0000003	reproduction	Reproduction	C0035150
8286	8289	GO:0004713	JAK	JAK activity	C1150611
8452	8464	GO:0009986	cell surface	Cell surface	C0699040
9794	9822	GO:0007567	parturition	Birth	C0005615
9794	9822	GO:0000003	reproduction	Reproduction	C0035150
9839	9854	GO:0010467	gene expression	Gene Expression	C0017262
9884	9905	GO:0006351	transcription	Transcription, Genetic	C0040649
9961	9983	GO:0007567	parturition	Birth	C0005615
9961	9983	GO:0000003	reproduction	Reproduction	C0035150
10273	10322	GO:0007567	parturition	Birth	C0005615
10273	10322	GO:0000003	reproduction	Reproduction	C0035150
10496	10510	GO:0007567	parturition	Birth	C0005615
10496	10510	GO:0000003	reproduction	Reproduction	C0035150
10566	10581	GO:0010467	gene expression	Gene Expression	C0017262
10795	10829	GO:0070701	mucus layer		C2753459
10908	10933	GO:0070701	mucus layer		C2753459
11081	11103	GO:1902698	acidogenesis		C3823112
11246	11275	GO:0007567	parturition	Birth	C0005615
11246	11275	GO:0000003	reproduction	Reproduction	C0035150
11338	11362	GO:0000407	pre-autophagosomal structure		C1820373
11481	11485	GO:0005623	cell	Cells	C0007634
